labcode,site,estimation,std
Poz-9197,Janowice,6300,110
Poz-9374,Janowice,4680,40
Poz-9368,Janowice,3840,40
Poz-9367,Janowice,3460,35
Poz-9369,Janowice,3630,35
Poz-9370,Janowice,3505,35
Poz-9380,Janowice,3240,40
Poz-9373,Janowice,3160,35
Poz-9372,Janowice,2470,40
Poz-92508,Krotoszyn,3710,40
Poz-92509,Krotoszyn,3530,40
GrN-5980,Niedary,3445,55
Poz-7909,Bruszczewo,9870,50
KIA-28474,Bruszczewo,5151,29
Poz-7829,Bruszczewo,4980,40
Poz-18323,Bruszczewo,4700,35
Poz-7828,Bruszczewo,4280,35
KIA-28473,Bruszczewo,3782,28
KIA-29413,Bruszczewo,3764,55
Rome-1153,Bruszczewo,3620,60
Poz-48581,Bruszczewo,3610,40
GrN-5981,Bruszczewo,3600,55
KIA-28472,Bruszczewo,3600,55
KIA-29408,Bruszczewo,3589,40
Poz-920,Bruszczewo,3585,35
Erl-3137,Bruszczewo,3584,43
Poz-919,Bruszczewo,3570,35
Poz-7913,Bruszczewo,3560,35
Erl-4560,Bruszczewo,3557,43
Poz-54589,Bruszczewo,3550,40
Poz-12271,Bruszczewo,3550,35
KIA-31196,Bruszczewo,3543,31
KIA-32945,Bruszczewo,3527,26
Erl-4561,Bruszczewo,3525,48
Erl-4011,Bruszczewo,3525,45
Erl-3138,Bruszczewo,3524,41
KIA-28807,Bruszczewo,3524,28
KIA-31195,Bruszczewo,3522,26
Gd-10791,Bruszczewo,3520,150
KIA-32943,Bruszczewo,3514,28
Poz-54580,Bruszczewo,3510,40
Poz-54590,Bruszczewo,3510,40
Poz-12270,Bruszczewo,3510,30
KIA-32946,Bruszczewo,3508,25
KIA-28799,Bruszczewo,3506,26
Poz-921,Bruszczewo,3505,35
KIA-31197,Bruszczewo,3502,45
Poz-54582,Bruszczewo,3500,40
KIA-32947,Bruszczewo,3495,26
KIA-28800,Bruszczewo,3493,24
KIA-31194,Bruszczewo,3491,34
KIA-32294,Bruszczewo,3491,34
Poz-54592,Bruszczewo,3485,35
KIA-32940,Bruszczewo,3485,27
KIA-28805,Bruszczewo,3482,34
Poz-904,Bruszczewo,3480,35
Poz-48621,Bruszczewo,3480,35
KN-5291,Bruszczewo,3475,46
Poz-48580,Bruszczewo,3475,35
KIA-28801,Bruszczewo,3474,29
KIA-28804,Bruszczewo,3472,28
Poz-12272,Bruszczewo,3470,35
KIA-28798,Bruszczewo,3457,26
Poz-54569,Bruszczewo,3455,35
Poz-923,Bruszczewo,3470,35
GrN-5985,Bruszczewo,3470,30
KIA-32942,Bruszczewo,3467,33
KIA-32944,Bruszczewo,3459,29
Poz-54591,Bruszczewo,3450,35
Poz-54897,Bruszczewo,3450,35
KIA-32939,Bruszczewo,3448,30
KIA-28808,Bruszczewo,3442,30
Poz-905,Bruszczewo,3440,30
KN-5294,Bruszczewo,3436,31
KIA-28806,Bruszczewo,3432,30
KIA-28797,Bruszczewo,3428,26
Poz-54587,Bruszczewo,3425,35
KIA-28809,Bruszczewo,3424,40
Poz-54571,Bruszczewo,3420,35
Poz-54570,Bruszczewo,3420,35
GrN-5984,Bruszczewo,3410,35
KIA-32941,Bruszczewo,3409,26
Rome-1286,Bruszczewo,3405,60
Ki-6546,Bruszczewo,3405,35
Ki-7824,Bruszczewo,3390,60
KN-5293,Bruszczewo,3390,42
Poz-18324,Bruszczewo,3390,35
Poz-906,Bruszczewo,3380,35
Poz-54585,Bruszczewo,3375,35
Poz-54594,Bruszczewo,3375,35
Ki-6547,Bruszczewo,3370,40
Poz-54588,Bruszczewo,3370,40
Poz-18322,Bruszczewo,3365,35
Ki-6548,Bruszczewo,3360,40
Poz-922,Bruszczewo,3360,35
Poz-54581,Bruszczewo,3360,40
Ki-5905,Bruszczewo,3350,40
Poz-54586,Bruszczewo,3350,40
Ki-12719,Bruszczewo,3320,50
Ki-5606,Bruszczewo,3320,40
GrN-5047,Bruszczewo,3320,40
GrN-6142,Bruszczewo,3315,55
Poz-54584,Bruszczewo,3315,35
