ID,UnitID,OrgID,SiteID,SampleType,FeatureID,ShapeType,SherdNumber,Weight,SherdSize,VesselPartition,VesselFunctional,VesselBaseType,HandleNumber,TypeLip,TypeRim,TypeNeck,TypeNeckShoulder,TypeBodyUpper,TypeBodyTransition,TypeBodyLower,TypeBaseExterior,TypeBaseInterior,ThicknessLip,ThicknessRim,ThicknessNeck,ThicknessNeckShoulder,ThicknessBodyUpper,ThicknessBodyTransition,ThicknessLowerBody,ThicknessBaseExterior,R1,H1,H3,H4,H6,R2,R3,R4,R5,HandleForm,HandleThickness,Decorated,DecoratedTechA,DecoratedTechEleA,DecoratedTechPosA,DecoratedTechEncA,DecoratedTechB,DecoratedTechEleB,DecoratedTechPosB,DecoratedTechEncB,DecoratedTechC,DecoratedTechEleC,DecoratedTechPosC,DecoratedTechEncC,DecoratedMotif,DecoratedMotifPos,DecoratedMotifGroup,DecoratedMotifsEncr,DecoratedPatternGroup,DecoratedPatternGroupPos,DecoratedPatternGroupEnc,Firing,Firing_general,Inclusions,InclusionsSorting,InclusionsSize,InclusionsVisible,SurfaceExterior,ColorExterior,SurfaceInterior,ColorInterior,SpecialistTextile,SpecialistTextileType,Forming,FiringSecondary
3223,CZE_SF_001,230,16,selected finds,CZE: 240,body,1,10,3x3cm < x ≤ 4x4 cm,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,10,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004; I010,G002,SZ002,0,EST001,EC007,IST001,IC007,0,NA,M002,SF002
3227,CZE_SF_005,224,16,selected finds,"CZE: Ha IV, Ar 22D, 235",body,1,2,< 1x1cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,8,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ003,NA,EST015,EC001,IST001,IC001,0,NA,M001,SF001
3230,CZE_SF_008,205,16,selected finds,"CZE: HA III, Ar 18D, 201",body,1,12,2x2cm < x ≤ 3x3 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,9,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G003,SZ002,0,EST015,EC001,IST001,IC001,0,NA,M002,SF002
3269,CZE_SF_047,222,16,selected finds,"CZE: HAIV, Ar 31D, 222",body,1,13,4x4cm < x ≤ 5x5 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,9,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004; I010,G002,SZ002,1,EST001,EC004,IST001,IC001,0,NA,M002,SF002
3304,CZE_SF_082,156,16,selected finds,"CZE: HAIII, Ar 60B, 156",body,1,5,2x2cm < x ≤ 3x3 cm,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,7,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G001,SZ002,0,EST002,EC007,IST002,IC007,0,NA,,SF001
3371,CZE_SF_148,151,16,selected finds,"CZE: HAI, Ar 100-99, 151",rim,1,2,1x1cm < x ≤ 2x2 cm,,,,,LP010,RM002,NA,NA,NA,NA,NA,NA,NA,5,8,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ001,0,EST001,EC002,IST001,IC002,0,NA,,
3616,CZE_SF_393,264,16,selected finds,"CZE: HAVII, Ar 6AB",handle,1,7,2x2cm < x ≤ 3x3 cm,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ002,1,EST001,EC001,IST001,IC001,0,NA,,
3645,CZE_SF_422,203,16,selected finds,"CZE: HAIII, Ar 55D-56CD-66B",handle,1,25,3x3cm < x ≤ 4x4 cm,,,,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,10,,,,,,,,,,,,,12,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G001,SZ004,0,EST001,EC001,IST001,IC001,0,NA,,SF001
3649,CZE_SF_426,203,16,selected finds,"CZE: HAIII, Ar 55D-56CD-66B",rim,1,13,3x3cm < x ≤ 4x4 cm,,,,,LP003,RM001,NA,NA,NA,NA,NA,NA,NA,7,6,,,,,,,180,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G002,SZ002,0,EST001,EC007,IST001,IC007,0,NA,,
3660,CZE_SF_437,203,16,selected finds,"CZE: HAIII, Ar 55D-56CD-66B",rim,1,4,1x1cm < x ≤ 2x2 cm,,,,,LP003,RM008,NA,NA,NA,NA,NA,NA,NA,6,7,,,,,,,,,,,,,,,,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I002; I004,G002,SZ002,0,EST001,EC007,IST001,IC007,0,NA,,
3710,CZE_SF_487,zab. 10,16,selected finds,"CZE: HAII, Ar 96A",complete,1,20,3x3cm < x ≤ 4x4 cm,1,23,CI,0,LP003,RM008,NA,NA,NA,NA,LB002,BE010,BI003,4,4,,,,,5,10,41,32,,,8,,,18,17,,,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MG016,NA,NA,NA,NA,F001,oxidized,I004,G001,SZ003,1,EST001,EC001,IST001,IC001,0,NA,,
