ID,Name,Figure1,xcoord,ycoord,type,C14
1,Czeladź Wielka,Czeladź Wielka,336846.7886,412914.0703,settlement,YES
2,Krotoszyn,2,391938.3632,426725.3111,funerary,YES
3,Niedary,3,377251.1627,384708.5487,funerary,YES
4,Bruszczewo,4,334325.4359,463529.2302,settlement,YES
5,Pudliszki,5,357573.9414,435918.1206,funerary,YES
6,Las Krotoszyn,6,394216.9316,421803.0779,funerary,YES
7,Szczepidło,7,453721.7917,481995.0891,settlement,YES
8,Cichmiana 2,8,485058.431,468099.8952,settlement,YES
9,"Krągola, stan. 6",9,448308.4142,476765.4563,settlement,YES
13,Bogusławice,,371991.45,392119.69,funerary,NO
14,Bożeń,,394266.37,335429.82,funerary,NO
15,Bystre,,369365.45,386355.33,funerary,NO
19,Gliśnica,,416440.21,406446.51,funerary,NO
20,Grabonóg,,446836.53,365776.66,funerary,NO
21,Grodnica 2,,451079.33,371463.19,hoard,NO
23,Guzowice,,418859.3,383683.7,funerary,NO
29,Kleszczewo,,453186.41,349139.03,funerary,NO
30,Krotoszyn,,426644.16,392095.75,funerary,NO
31,Kruszyniec,,427450.61,333006.76,funerary,NO
32,Krzelów,,399762.17,327147.29,funerary,NO
35,Kunowo,,453790.33,363619.44,funerary,NO
36,Latowice 8,,420404.87,428786.18,funerary,NO
37,Łazarzowice,,396845.66,345872.68,funerary,NO
39,Masłów,,387501.09,369573.31,funerary,NO
41,Moczydlnica Klasztorna,,395868.29,331828.83,funerary,NO
44,Obrót,,374720.37,401464.26,funerary,NO
45,Odolanów,,412768.45,408115.97,hoard,NO
47,Pawłów Trzebnicki,,389597.96,362623.92,funerary,NO
52,Poniec,,435389.47,348755.36,hoard,NO
54,Przyborowo,,430489.51,356923.33,hoard,NO
55,Pudliszki,,436035.45,357521.82,funerary,NO
57,Siciny,,432080.73,322391.17,funerary,NO
59,Siemianice,,385902.84,354351.98,funerary,NO
60,Skoroszów,,394851.27,374630.07,funerary,NO
61,Smoszew,,423780.7,396154.9,funerary,NO
62,Staszowice,,398380.69,345184.14,funerary,NO
67,Wielka Lipa,,386320.16,350608.24,funerary,NO
71,Wymysłowo,,438765.18,362571.4,funerary,NO
73,Górzyca,10,205176.0032,523158.8445,funerary,YES
74,Lutomiersk-Koziówki 3 a-c,11,515280.1169,431876.3703,settlement,YES
